date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:18	30/30	---M--	200	added ('OK')	text/plain	etag:%221e-4f510053cdfc0%22	http://mstl.atl.calpoly.edu/robots.txt		(from )
16:10:19	4200/4200	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:18%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/index.html	(from )
16:10:19	148/148	---M--	200	added ('OK')	image/gif	etag:%2294-3e9564c23b600%22	http://mstl.atl.calpoly.edu/icons/blank.gif	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/icons/blank.gif	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:19	216/216	---M--	200	added ('OK')	image/gif	etag:%22d8-3e9564c23b600%22	http://mstl.atl.calpoly.edu/icons/back.gif	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/icons/back.gif	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:20	4200/4200	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:19%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/?C=N;O=D	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/indexc052.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:20	225/225	---M--	200	added ('OK')	image/gif	etag:%22e1-3e9564c23b600%22	http://mstl.atl.calpoly.edu/icons/folder.gif	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/icons/folder.gif	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:20	4200/4200	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:19%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/?C=M;O=A	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/indexf8a0.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:21	4200/4200	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:20%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/?C=S;O=A	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/indexbfec.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:21	4200/4200	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:20%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/?C=D;O=A	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/index30b5.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:21	1186/1186	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:20%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/2004/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/2004/index.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:21	1186/1186	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:20%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/2006/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/2006/index.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:22	1186/1186	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:21%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/2007/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/2007/index.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:22	1186/1186	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:21%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/2008/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/2008/index.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:22	1186/1186	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:21%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/2009/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/2009/index.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
16:10:22	1186/1186	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2010:40:21%20GMT	http://mstl.atl.calpoly.edu/~workshop/archive/2010/	C:/My%20Web%20Sites/cal-poly/mstl.atl.calpoly.edu/_workshop/archive/2010/index.html	(from http://mstl.atl.calpoly.edu/~workshop/archive/)
